0,1,2,3,4
No.,Stasiun dan Perhentian,,Datang  Berangkat,Keterangan
1,Malang (ML),,14:55:00,
2,Malangkotalama (MLK),Ls,15:00:00,// KA 35 (KA 35 =)
3,Pakisaji (PSI),Ls,15:08:00,
4,Kepanjen (KPN),15:16:00,15:18:00,
5,Ngebruk (NB),Ls,15:26:00,X KA 404 (KA 404 X)
6,Sumberpucung (SBP),Ls,15:30:00,
7,Pogajih (PGJ),Ls,15:38:00,
8,Kesamben (KSB),Ls,15:45:00,
9,Wlingi (WG),15:55:00,15:57:00,X KA 170 (KA 170 X)
10,Talun (TAL),Ls,16:02:00,
11  Garum (GRM),,Ls,16:10:00,
12,Blitar (BL),16:18:00,16:21:00,
13,Rejotangan (RJ),Ls,16:30:00,
14  Ngunut (NT),,Ls,16:35:00,X KA 406 (KA 406 X)
15,Sumbergempol (SBL),Ls,16:39:00,
16,Tulungagung (TA),16:44:00,16:46:00,
17  Ngujang (NJG),,Ls,16:52:00,
18  Kras (KRS),,Ls,16:56:00,
19  Ngadiluwih (NDL),,Ls,17:00:00,
20  Kediri (KD),,17:07:00,17:09:00,
21,Susuhan (SS),Ls,17:14:00,
22  Minggiran (MGN),,Ls,17:18:00,
23,Papar (PPR),Ls,17:21:00,
24,Purwoasri (PWA),Ls,17:25:00,
25  Kertosono (KTS),,17:31:00,17:34:00,(KA 408 X)
26,Baron (BRN),Ls,17:40:00,
27,Sukomoro (SKM),Ls,17:46:00,
28  Nganjuk (NJ),,17:51:00,17:53:00,
29,Bagor (BGR),Ls,17:59:00,
30,Saradan (SRD),Ls,18:10:00,
31,Caruban (CRB),Ls,18:15:00,
32,Babadan (BBD),Ls,18:20:00,
33  Madiun (MN),,18:27:00,18:32:00,
34  Magetan (MAG),,Ls,18:40:00,
35  Geneng (GG),,Ls,18:45:00,
36  Ngawi (NGW),,Ls,18:50:00,
37  Kedunggalar (KG),,Ls,18:55:00,
38  Walikukun (WK),,Ls,19:01:00,
,39  Kedungbanteng (KDB),Ls,19:08:00,
40  Kebonromo (KRO),,Ls,19:12:00,
41,Sragen (SR),Ls,19:15:00,
42  Masaran (MSR),,Ls,19:20:00,
No.,Stasiun dan Perhentian,,Datang  Berangkat,Keterangan
43  Kemiri (KMR),,Ls,19:25:00,
44,Palur (PL),Ls,19:28:00,
45,Solojebres (SK),Ls,19:31:00,
46,Solobalapan (SLO),19:35:00,19:38:00,
47,Purwosari (PWS),Ls,19:42:00,
48  Gawok (GW),,Ls,19:46:00,
49  Delanggu (DL),,Ls,19:49:00,
50,Ceper (CE),Ls,19:53:00,
51  Klaten (KT),,Ls,19:59:00,
52,Srowot (SWT),Ls,20:03:00,
53,Brambanan (BBN),Ls,20:06:30,
54  Maguwo (MGW),,Ls,20:11:00,
55,Lempuyangan (LPN),Ls,20:16:00,
56  Yogyakarta (YK),,20:19:00,20:24:00,
57,Patukan (PTN),Ls,20:29:00,
58,Rewulu (RWL),Ls,20:32:00,
59,Sentolo (STL),Ls,20:39:00,
60  Wates (WT),,Ls,20:47:00,
61  Kedundang (KDG),,Ls,20:52:00,
62  Wojo (WJ),,Ls,20:57:00,
63,Jenar (JN),Ls,21:03:00,
64  Kutoarjo (KTA),,21:13:00,21:18:00,
65,Butuh (BTH),Ls,21:23:00,
66,Prembun (PRB),Ls,21:27:00,
,67  Kutowinangun (KWN),Ls,21:31:00,
68  Wonosari (WNS),,Ls,21:33:00,
69  Kebumen (KM),,21:37:00,21:39:00,
70,Sruweng (SRW),Ls,21:46:00,
71  Karanganyar (KA),,Ls,21:48:00,
72  Gombong (GB),,Ls,21:52:30,
73,Ijo (IJ),Ls,21:56:30,
74,Tambak (TBK),Ls,21:59:00,
75,Sumpiuh (SPH),Ls,22:02:00,
76  Kemranjen (KJ),,Ls,22:05:00,
