0,1,2,3,4
115  Bekasitimur (BKST),,Ls,-,
116  Bekasi (BKS),,Ls,05:16:00,
117,Jatinegara (JNG),05:28:00,05:30:00,
118  Matraman (MTR),,Ls,-,
119  Manggarai (MRI),,Ls,05:35:00,
120  Cikini (CKI),,Ls,-,
121  Gondangdia (GDD),,Ls,-,
122  Gambir (GMR),,05:45:00,,
No.,Stasiun dan Perhentian,,Datang  Berangkat,Keterangan
1,Gambir (GMR),,17:00:00,
2,Gondangdia (GDD),Ls,-,
3,Cikini (CKI),Ls,-,
4,Manggarai (MRI),Ls,17:09:00,
No.,Stasiun dan Perhentian,,Datang  Berangkat,Keterangan
5,Matraman (MTR),Ls,-,
6,Jatinegara (JNG),Ls,17:14:00,
7,Bekasi (BKS),17:24:00,17:26:00,
8,Bekasitimur (BKST),Ls,-,
9,Tambun (TB),Ls,17:32:00,
10,Cibitung (CIT),Ls,-,
11,Telaga Murni (TLM),Ls,-,
12,Cikarang (CKR),Ls,17:39:00,
13,Lemahabang (LMB),Ls,17:42:00,
,14  Kedunggedeh (KDH),Ls,17:48:00,
15  Karawang (KW),,Ls,17:52:00,
16  Klari (KLI),,Ls,17:56:00,
17  Kosambi (KOS),,Ls,17:58:00,
18  Dawuan (DWN),,Ls,18:02:00,
19,Cikampek (CKP),Ls,18:05:00,
20,Tanjungrasa (TJS),Ls,18:12:00,
21,Pabuaran (PAB),Ls,18:15:00,
22,Pringkasap (PRI),Ls,18:18:00,
23,Pasirbungur (PAS),Ls,18:21:00,
24,Cikaum (CKM),Ls,18:24:00,
25,Pegadenbaru (PGB),Ls,18:29:00,
26,Cipunegara (CRA),Ls,18:33:00,
27  Haurgeulis (HGL),,Ls,18:37:00,
28,Cilegeh (CLH),Ls,18:43:00,
,29  Kadokangabus (KAB),Ls,18:48:00,
30,Terisi (TIS),Ls,18:52:00,
31,Telagasari (TLS),Ls,18:57:00,
32,Jatibarang (JTB),Ls,19:03:00,
,33  Kertasemaya (KTM),Ls,19:08:00,
,34  Arjawinangun (AWN),Ls,19:17:00,
35,Bangoduwa (BDW),Ls,19:20:00,
36,Cangkring (CNK),Ls,19:23:00,
37,Cirebon (CN),19:29:00,19:34:00,
38,Cirebon Prujakan (CNP),Ls,19:37:00,
39,Luwung (LWG),Ls,19:42:00,
40,Sindanglaut (SDU),Ls,19:46:00,
41,Ciledug (CLD),Ls,19:55:00,
,42  Ketanggungan (KGG),Ls,20:04:00,
43,Larangan (LRA),Ls,20:09:00,
44,Songgom (SGG),Ls,20:12:00,
45,Prupuk (PPK),Ls,20:19:00,
46,Linggapura (LG),Ls,20:29:00,
47,Bumiayu (BMA),Ls,20:37:00,
48  Kretek (KRT),,Ls,20:44:00,
No.,Stasiun dan Perhentian,,Datang  Berangkat,Keterangan
49,Patuguran (PAT),Ls,20:50:00,
50  Karangsari (KRR),,Ls,21:00:00,
,51  Karanggandul (KGD),Ls,21:08:00,
52,Purwokerto (PWT),21:16:00,21:21:00,
53  Notog (NTG),,Ls,21:29:00,
54  Kebasen (KBS),,Ls,21:34:00,
55,Randegan (RDN),Ls,21:37:00,
56  Kroya (KYA),,21:43:00,21:45:00,
57  Kemranjen (KJ),,Ls,21:51:00,
58,Sumpiuh (SPH),Ls,21:54:00,
59,Tambak (TBK),Ls,21:57:00,
60,Ijo (IJ),Ls,22:00:00,
61  Gombong (GB),,Ls,22:03:30,
62  Karanganyar (KA),,Ls,22:08:00,
63,Sruweng (SRW),Ls,22:10:00,
64  Kebumen (KM),,22:17:00,22:19:00,
65  Wonosari (WNS),,Ls,22:24:00,
,66  Kutowinangun (KWN),Ls,22:26:00,
67,Prembun (PRB),Ls,22:30:00,
68,Butuh (BTH),Ls,22:34:00,
69  Kutoarjo (KTA),,22:39:00,22:42:00,
70,Jenar (JN),Ls,22:50:30,
71  Wojo (WJ),,Ls,22:55:00,
72  Kedundang (KDG),,Ls,22:59:00,
73  Wates (WT),,Ls,23:03:00,
74,Sentolo (STL),Ls,23:11:00,
75,Rewulu (RWL),Ls,23:17:00,
76,Patukan (PTN),Ls,23:20:00,
77  Yogyakarta (YK),,23:25:00,23:30:00,
78,Lempuyangan (LPN),Ls,23:33:00,
79  Maguwo (MGW),,Ls,23:37:00,
80,Brambanan (BBN),Ls,23:42:00,
81,Srowot (SWT),Ls,23:46:00,
82  Klaten (KT),,Ls,23:50:00,
83,Ceper (CE),Ls,23:55:30,
84  Delanggu (DL),,Ls,23:59:00,
85  Gawok (GW),,Ls,00:02:00,
86,Purwosari (PWS),Ls,00:06:00,
87,Solobalapan (SLO),00:10:00,00:13:00,
88,Solojebres (SK),Ls,00:17:00,
89,Palur (PL),Ls,00:20:00,
90  Kemiri (KMR),,Ls,00:23:00,
91  Masaran (MSR),,Ls,00:28:00,
92,Sragen (SR),Ls,00:33:00,
No.,Stasiun dan Perhentian,,Datang  Berangkat,Keterangan
93  Kebonromo (KRO),,Ls,00:36:00,
,94  Kedungbanteng (KDB),Ls,00:40:00,
95  Walikukun (WK),,Ls,00:48:00,// KA 2604 (KA 2604 =)
96  Kedunggalar (KG),,Ls,00:53:00,
97  Ngawi (NGW),,Ls,00:58:00,
98  Geneng (GG),,Ls,01:02:00,
99  Magetan (MAG),,Ls,01:07:00,
100  Madiun (MN),,01:15:00,01:20:00,
101  Babadan (BBD),,Ls,01:27:00,
102  Caruban (CRB),,Ls,01:32:00,
103  Saradan (SRD),,Ls,01:37:00,
104  Bagor (BGR),,Ls,01:47:00,
105  Nganjuk (NJ),,01:52:00,01:54:00,
106  Sukomoro (SKM),,Ls,01:59:00,
107  Baron (BRN),,Ls,02:05:00,
108  Kertosono (KTS),,02:11:00,02:13:00,
109  Sembung (SMB),,Ls,02:19:00,
110,Jombang (JG),02:25:00,02:27:00,
111  Peterongan (PTR),,Ls,-,
112  Sumobito (SBO),,Ls,02:36:00,
113  Curahmalang (CRM),,Ls,-,
114  Mojokerto (MR),,02:45:00,02:47:00,
115  Tarik (TRK),,Ls,02:55:00,
116  Kedinding (KDN),,Ls,-,
117  Krian (KRN),,Ls,03:01:00,
118  Boharan (BH),,Ls,-,
119  Sepanjang (SPJ),,Ls,03:10:00,
120  Wonokromo (WO),,Ls,03:14:00,
121  Ngagel (NGA),,Ls,-,
,122  Surabayagubeng (SGU),03:20:00,,
