0,1,2,3,4
No.,Stasiun dan Perhentian,Datang,Berangkat,Keterangan
1,Solobalapan (SLO),,08:30:00,
2,Purwosari (PWS),Ls,08:34:00,
3,Gawok (GW),Ls,08:38:00,
4,Delanggu (DL),Ls,08:41:00,
5,Ceper (CE),Ls,08:45:00,
6,Klaten (KT),08:52:00,08:54:00,
7,Srowot (SWT),Ls,08:59:00,
8,Brambanan (BBN),Ls,09:02:30,
9,Maguwo (MGW),Ls,09:07:00,
10,Lempuyangan (LPN),Ls,09:11:00,
11  Yogyakarta (YK),,09:15:00,09:18:00,
12,Patukan (PTN),Ls,09:23:00,
13  Rewulu (RWL),,Ls,09:26:00,
14,Sentolo (STL),Ls,09:32:00,
15  Wates (WT),,Ls,09:39:00,
16  Kedundang (KDG),,Ls,09:43:00,
17  Wojo (WJ),,Ls,09:47:00,
18,Jenar (JN),Ls,09:52:00,
19  Kutoarjo (KTA),,Ls,10:01:00,
20  Butuh (BTH),,Ls,10:05:00,
21,Prembun (PRB),Ls,10:08:30,
,22  Kutowinangun (KWN),Ls,10:12:30,
23  Wonosari (WNS),,Ls,10:14:30,
24  Kebumen (KM),,Ls,10:17:00,// KA 291 (KA 291 =)
25,Sruweng (SRW),Ls,10:22:00,
26  Karanganyar (KA),,Ls,10:24:00,
27  Gombong (GB),,Ls,10:29:00,
28,Ijo (IJ),Ls,10:33:00,
29,Tambak (TBK),Ls,10:36:00,
30,Sumpiuh (SPH),Ls,10:39:00,
31  Kemranjen (KJ),,Ls,10:42:00,
32  Kroya (KYA),,Ls,10:46:00,
33  Randegan (RDN),,Ls,10:51:00,
34  Kebasen (KBS),,Ls,10:54:00,
35  Notog (NTG),,Ls,10:59:00,
36,Purwokerto (PWT),11:07:00,11:10:00,
,37  Karanggandul (KGD),Ls,11:19:00,
38  Karangsari (KRR),,Ls,11:28:00,
39,Patuguran (PAT),Ls,11:39:00,
40  Kretek (KRT),,Ls,11:45:00,
41  Bumiayu (BMA),,Ls,11:52:00,// KA 103 (KA 103 =)
42,Linggapura (LG),Ls,12:00:00,
No.,Stasiun dan Perhentian,Datang,Berangkat,Keterangan
43,Prupuk (PPK),Ls,12:10:00,
44,Songgom (SGG),Ls,12:17:00,
45,Larangan (LRA),Ls,12:20:00,
,46  Ketanggungan (KGG),Ls,12:25:00,
47  Ciledug (CLD),,Ls,12:34:00,
48,Sindanglaut (SDU),Ls,12:43:00,
49,Luwung (LWG),Ls,12:47:00,
,50  Cirebon Prujakan (CNP),Ls,12:52:00,
51  Cirebon (CN),,12:55:00,12:58:00,
52  Cangkring (CNK),,Ls,13:05:00,
53  Bangoduwa (BDW),,Ls,13:08:00,
,54  Arjawinangun (AWN),Ls,13:11:00,
,55  Kertasemaya (KTM),Ls,13:20:00,
56,Jatibarang (JTB),Ls,13:25:00,
57,Telagasari (TLS),Ls,13:31:00,
58,Terisi (TIS),Ls,13:36:00,
,59  Kadokangabus (KAB),Ls,13:40:00,
60  Cilegeh (CLH),,Ls,13:45:00,
61  Haurgeulis (HGL),,Ls,13:51:00,
62  Cipunegara (CRA),,Ls,13:55:00,// KA 2703 (KA 2703 =)
63,Pegadenbaru (PGB),Ls,13:59:00,
64  Cikaum (CKM),,Ls,14:04:00,
65,Pasirbungur (PAS),Ls,14:07:00,
66,Pringkasap (PRI),Ls,14:10:00,
67,Pabuaran (PAB),Ls,14:13:00,
68,Tanjungrasa (TJS),Ls,14:16:00,
69  Cikampek (CKP),,Ls,14:23:00,
70  Dawuan (DWN),,Ls,14:26:00,
71  Kosambi (KOS),,Ls,14:31:00,
72  Klari (KLI),,Ls,14:33:00,
73  Karawang (KW),,Ls,14:37:00,// KA 2521 (KA 2521 =)
,74  Kedunggedeh (KDH),Ls,14:41:00,// KA 331 (KA 331 =)
75,Lemahabang (LMB),Ls,14:46:00,
76  Cikarang (CKR),,Ls,14:49:00,
77,Telaga Murni (TLM),Ls,-,
78  Cibitung (CIT),,Ls,-,
79,Tambun (TB),Ls,14:55:00,// KA 5553 (KA 5553 =)
,80  Bekasitimur (BKST),Ls,-,
81  Bekasi (BKS),,Ls,15:00:00,
82,Jatinegara (JNG),Ls,15:10:00,
83  Matraman (MTR),,Ls,-,
84  Manggarai (MRI),,Ls,15:15:00,
85  Cikini (CKI),,Ls,-,
86  Gondangdia (GDD),,Ls,-,
No.,Stasiun dan Perhentian,Datang,Berangkat,Keterangan
1,Gambir (GMR),,20:45:00,
2,Gondangdia (GDD),Ls,-,
3,Cikini (CKI),Ls,-,
4,Manggarai (MRI),Ls,20:54:00,
5,Matraman (MTR),Ls,-,
6,Jatinegara (JNG),Ls,20:59:00,
7,Bekasi (BKS),Ls,21:09:00,
8,Bekasitimur (BKST),Ls,-,
9,Tambun (TB),Ls,21:14:00,// KA 5166 (KA 5166 =)
10  Cibitung (CIT),,Ls,-,
11,Telaga Murni (TLM),Ls,-,
12  Cikarang (CKR),,Ls,21:20:00,
13,Lemahabang (LMB),Ls,21:23:00,
,14  Kedunggedeh (KDH),Ls,21:28:00,
15  Karawang (KW),,Ls,21:32:00,
16  Klari (KLI),,Ls,21:36:00,
17  Kosambi (KOS),,Ls,21:38:00,
18  Dawuan (DWN),,Ls,21:42:00,
19  Cikampek (CKP),,Ls,21:45:00,
20,Tanjungrasa (TJS),Ls,21:52:00,
21,Pabuaran (PAB),Ls,21:55:00,
22,Pringkasap (PRI),Ls,21:59:00,
23,Pasirbungur (PAS),Ls,22:02:00,
24  Cikaum (CKM),,Ls,22:05:00,
25,Pegadenbaru (PGB),Ls,22:10:00,
26  Cipunegara (CRA),,Ls,22:14:00,
27  Haurgeulis (HGL),,Ls,22:18:00,
28  Cilegeh (CLH),,Ls,22:24:00,// KA 304 (KA 304 =)
,29  Kadokangabus (KAB),Ls,22:29:00,
30,Terisi (TIS),Ls,22:33:00,
31,Telagasari (TLS),Ls,22:38:00,
32,Jatibarang (JTB),Ls,22:44:00,
,33  Kertasemaya (KTM),Ls,22:49:00,
,34  Arjawinangun (AWN),Ls,22:58:00,
35  Bangoduwa (BDW),,Ls,23:01:00,
36  Cangkring (CNK),,Ls,23:04:00,
37  Cirebon (CN),,23:09:00,23:12:00,
,38  Cirebon Prujakan (CNP),Ls,23:15:00,
39,Luwung (LWG),Ls,23:20:00,
No.,Stasiun dan Perhentian,Datang,Berangkat,Keterangan
40,Sindanglaut (SDU),Ls,23:24:00,
41  Ciledug (CLD),,Ls,23:33:00,
,42  Ketanggungan (KGG),Ls,23:42:00,
43,Larangan (LRA),Ls,23:47:00,
44,Songgom (SGG),Ls,23:50:00,
45,Prupuk (PPK),Ls,23:57:00,
46,Linggapura (LG),Ls,00:07:00,
47  Bumiayu (BMA),,Ls,00:15:00,
48  Kretek (KRT),,Ls,00:22:00,
49,Patuguran (PAT),Ls,00:28:00,
50  Karangsari (KRR),,Ls,00:38:00,
,51  Karanggandul (KGD),Ls,00:46:00,
52,Purwokerto (PWT),00:54:00,00:57:00,
53  Notog (NTG),,Ls,01:05:00,
54  Kebasen (KBS),,Ls,01:10:00,
55  Randegan (RDN),,Ls,01:13:00,
56  Kroya (KYA),,Ls,01:18:00,// KA 2750F JJ (KA 2750F =)
57  Kemranjen (KJ),,Ls,01:22:00,
58,Sumpiuh (SPH),Ls,01:25:00,
59,Tambak (TBK),Ls,01:28:00,
60,Ijo (IJ),Ls,01:31:00,
61  Gombong (GB),,Ls,01:35:00,
62  Karanganyar (KA),,Ls,01:40:00,
63,Sruweng (SRW),Ls,01:42:00,
64  Kebumen (KM),,Ls,01:47:00,// KA 116 (KA 116 =)
65  Wonosari (WNS),,Ls,01:49:30,
,66  Kutowinangun (KWN),Ls,01:52:00,
67,Prembun (PRB),Ls,01:56:00,
68  Butuh (BTH),,Ls,02:00:00,
69  Kutoarjo (KTA),,Ls,02:04:00,// KA 302 (KA 302 =)
70,Jenar (JN),Ls,02:12:00,
71  Wojo (WJ),,Ls,02:17:00,
72  Kedundang (KDG),,Ls,02:21:00,
73  Wates (WT),,Ls,02:25:00,
74,Sentolo (STL),Ls,02:33:00,
75  Rewulu (RWL),,Ls,02:39:00,
76,Patukan (PTN),Ls,02:42:00,
77  Yogyakarta (YK),,02:47:00,02:52:00,
78,Lempuyangan (LPN),Ls,02:55:00,// KA 306 (KA 306 =)
79  Maguwo (MGW),,Ls,02:59:00,
80  Brambanan (BBN),,Ls,03:03:30,
81,Srowot (SWT),Ls,03:07:00,
82  Klaten (KT),,03:13:00,03:15:00,
83  Ceper (CE),,Ls,03:23:00,
No.,Stasiun dan Perhentian,Datang,Berangkat,Keterangan
84  Delanggu (DL),,Ls,03:27:00,
85  Gawok (GW),,Ls,03:30:00,
86,Purwosari (PWS),Ls,03:35:00,
87,Solobalapan (SLO),03:40:00,,
