No.,Stasiun,Datang,Berangkat,Keterangan
1,Solobalapan (SLO),,09:50:00,
2,Purwosari (PWS),Ls,09:54:00,
3,Gawok (GW),Ls,09:58:00,
4,Delanggu (DL),Ls,10:01:00,
5,Ceper (CE),Ls,10:05:00,
6,Klaten (KT),10:12:00,10:14:00,
7,Srowot (SWT),Ls,10:19:00,
8,Brambanan (BBN),Ls,10:22:30,
9,Maguwo (MGW),Ls,10:27:00,
10,Lempuyangan (LPN),Ls,10:31:00,
11,Yogyakarta (YK),10:35:00,10:40:00,
12,Patukan (PTN),Ls,10:45:00,
13,Rewulu (RWL),Ls,10:48:00,
14,Sentolo (STL),Ls,10:54:00,
15,Wates (WT),Ls,11:02:00,
16,Kedundang (KDG),Ls,11:06:00,
17,Wojo (WJ),Ls,11:10:00,
18,Jenar (JN),Ls,11:15:00,
19,Kutoarjo (KTA),11:25:00,11:30:00,
20,Butuh (BTH),Ls,11:35:00,
21,Prembun (PRB),Ls,11:40:00,
22,Kutowinangun (KWN),Ls,11:44:00,
23,Wonosari (WNS),Ls,11:46:00,
24,Kebumen (KM),11:50:00,11:53:00,
25,Sruweng (SRW),Ls,12:00:00,
26,Karanganyar (KA),Ls,12:02:00,
27,Gombong (GB),Ls,12:06:30,// KA 201 (KA 201 =)
28,Ijo (IJ),Ls,12:10:00,
29,Tambak (TBK),Ls,12:12:30,
30,Sumpiuh (SPH),Ls,12:15:30,
31,Kemranjen (KJ),Ls,12:19:00,
32,Kroya (KYA),12:25:00,12:28:00,
33,Randegan (RDN),Ls,12:35:00,
34,Kebasen (KBS),Ls,12:38:00,
35,Notog (NTG),Ls,12:44:00,
36,Purwokerto (PWT),12:52:00,12:57:00,
37,Karanggandul (KGD),Ls,13:05:00,
38,Karangsari (KRR),Ls,13:14:00,
39,Patuguran (PAT),Ls,13:24:00,// KA 2623 (KA 2623 =)
40,Kretek (KRT),Ls,13:29:30,
41,Bumiayu (BMA),Ls,13:36:00,
42,Linggapura (LG),Ls,13:43:00,
43,Prupuk (PPK),Ls,13:53:00,
44,Songgom (SGG),Ls,14:01:00,
45,Larangan (LRA),Ls,14:05:00,
46,Ketanggungan (KGG),Ls,14:10:00,
47,Ciledug (CLD),Ls,14:19:00,
48,Sindanglaut (SDU),Ls,14:28:00,
49,Luwung (LWG),Ls,14:32:00,
50,Cirebon Prujakan (CNP),Ls,14:37:00,
51,Cirebon (CN),14:41:00,14:49:00,
52,Cangkring (CNK),Ls,14:56:00,
53,Bangoduwa (BDW),Ls,14:59:00,
54,Arjawinangun (AWN),Ls,15:03:00,
55,Kertasemaya (KTM),Ls,15:12:00,
56,Jatibarang (JTB),Ls,15:17:00,// KA 2529 (KA 2529 =)
57,Telagasari (TLS),Ls,15:24:00,
58,Terisi (TIS),Ls,15:29:00,
59,Kadokangabus (KAB),Ls,15:33:00,
60,Cilegeh (CLH),Ls,15:38:00,
61,Haurgeulis (HGL),Ls,15:44:00,
62,Cipunegara (CRA),Ls,15:48:00,
63,Pegadenbaru (PGB),Ls,15:53:00,
64,Cikaum (CKM),Ls,15:58:00,
65,Pasirbungur (PAS),Ls,16:02:00,
66,Pringkasap (PRI),Ls,16:06:00,
67,Pabuaran (PAB),Ls,16:10:00,
68,Tanjungrasa (TJS),Ls,16:13:00,
69,Cikampek (CKP),Ls,16:20:00,
70,Dawuan (DWN),Ls,16:23:00,
71,Kosambi (KOS),Ls,16:27:00,
72,Klari (KLI),Ls,16:29:00,// KA 2703 (KA 2703 =)
73,Karawang (KW),Ls,16:33:00,
74,Kedunggedeh (KDH),Ls,16:37:00,
75,Lemahabang (LMB),Ls,16:43:00,
76,Cikarang (CKR),16:47:00,16:49:00,
77,Telaga Murni (TLM),Ls,-,
78,Cibitung (CIT),Ls,-,
79,Tambun (TB),Ls,16:58:00,
80,Bekasitimur (BKST),Ls,-,
81,Bekasi (BKS),Ls,17:04:00,
82,Jatinegara (JNG),17:14:00,17:16:00,
83,Matraman (MTR),Ls,-,
84,Manggarai (MRI),Ls,17:21:00,
85,Cikini (CKI),Ls,-,
86,Gondangdia (GDD),Ls,-,
