No.,Stasiun,Datang,Berangkat,Keterangan
1,Malang (ML),,16:00:00,
2,Malangkotalama (MLK),16:06:00,16:09:00,X KA 404 (KA 404 X)
3,Pakisaji (PSI),Ls,16:18:00,
4,Kepanjen (KPN),16:27:00,16:30:00,
5,Ngebruk (NB),Ls,16:38:00,X KA 170 (KA 170 X)
6,Sumberpucung (SBP),Ls,16:45:00,
7,Pogajih (PGJ),Ls,16:55:00,
8,Kesamben (KSB),Ls,17:04:00,
9,Wlingi (WG),17:16:00,17:20:00,
10,Talun (TAL),Ls,17:26:00,
11,Garum (GRM),Ls,17:34:00,X KA 406 (KA 406 X)
12,Blitar (BL),17:42:00,17:45:00,
13,Rejotangan (RJ),Ls,17:54:00,
14,Ngunut (NT),Ls,17:58:00,// KA 429 (KA 429 =)
15,Sumbergempol (SBL),Ls,18:02:00,
16,Tulungagung (TA),18:07:00,18:09:00,
17,Ngujang (NJG),Ls,18:15:00,
18,Kras (KRS),Ls,18:19:00,
19,Ngadiluwih (NDL),Ls,18:23:00,
20,Kediri (KD),18:30:00,18:32:00,
21,Susuhan (SS),Ls,18:37:00,X KA 408 (KA 408 X)
22,Minggiran (MGN),Ls,18:40:00,
23,Papar (PPR),Ls,18:43:00,
24,Purwoasri (PWA),Ls,18:46:00,
25,Kertosono (KTS),18:53:00,18:56:00,// KA 273 (KA 273 =)
26,Baron (BRN),Ls,19:02:00,
27,Sukomoro (SKM),Ls,19:08:00,
28,Nganjuk (NJ),19:13:00,19:15:00,
29,Bagor (BGR),Ls,19:21:00,
30,Saradan (SRD),Ls,19:32:00,
31,Caruban (CRB),Ls,19:37:00,
32,Babadan (BBD),Ls,19:42:00,
33,Madiun (MN),19:48:00,19:53:00,
34,Magetan (MAG),Ls,20:01:00,
35,Geneng (GG),Ls,20:06:00,
36,Ngawi (NGW),Ls,20:11:00,// KA 157 (KA 157 =)
37,Kedunggalar (KG),Ls,20:16:00,
38,Walikukun (WK),Ls,20:22:00,
39,Kedungbanteng (KDB),Ls,20:29:00,
40,Kebonromo (KRO),Ls,20:33:00,
41,Sragen (SR),Ls,20:36:00,
42,Masaran (MSR),Ls,20:41:00,
43,Kemiri (KMR),Ls,20:46:00,
44,Palur (PL),Ls,20:49:00,
45,Solojebres (SK),20:53:00,20:58:00,
46,Solobalapan (SLO),Ls,21:02:00,
47,Kadipiro (KDO),Ls,21:09:00,
48,Kalioso (KO),Ls,21:14:00,
49,Salem (SLM),Ls,21:19:00,X KA 2714 (KA 2714 X)
50,Sumberlawang (SUM),Ls,21:25:00,
51,Goprak (GPK),Ls,21:31:00,
52,Gundih (GD),Ls,21:37:00,X KA 152 (KA 152 X)
53,Karangsono (KSO),21:50:00,21:58:00,X KA 38 (KA 38 X)
54,Telawa (TW),Ls,22:09:00,X KA 232 (KA 232 X)
55,Padas (PDS),Ls,22:16:00,
56,Kedungjati (KEJ),Ls,22:20:00,
57,Tanggung (TGG),Ls,22:28:00,X KA 186 (KA 186 X)
58,Brumbung (BBG),Ls,22:37:00,
59,Alastua (ATA),Ls,22:42:00,
60,Semarang Tawang (SMT),22:49:00,22:54:00,
61,Semarang Poncol (SMC),Ls,22:59:00,
62,Jerakah (JRK),Ls,23:03:00,
63,Mangkang (MKG),Ls,23:07:00,
64,Kaliwungu (KLN),Ls,23:11:00,
65,Kalibodri (KBD),Ls,23:19:00,
66,Weleri (WLR),Ls,23:24:00,
67,Krengseng (KNS),Ls,23:27:00,
68,Plabuan (PLB),Ls,23:33:00,
69,Kuripan (KRP),Ls,23:38:00,
70,Ujungnegoro (UJN),Ls,23:46:00,
71,Batang (BTG),Ls,23:49:00,
72,Pekalongan (PK),23:57:00,00:00:00,
73,Sragi (SRI),Ls,00:09:00,
74,Comal (CO),Ls,00:12:00,
75,Petarukan (PTA),Ls,00:17:00,
76,Pemalang (PML),Ls,00:21:00,
77,Surodadi (SD),Ls,00:28:00,
78,Larangan (LR),Ls,00:34:00,
79,Tegal (TG),00:38:00,00:41:00,
80,Brebes (BB),Ls,00:49:00,
81,Tanjung (TGN),Ls,01:00:00,
82,Losari (LOS),Ls,01:05:00,
83,Babakan (BBK),Ls,01:10:00,
84,Waruduwur (WDW),Ls,01:17:00,
85,Cirebon Prujakan (CNP),Ls,01:23:00,
86,Cirebon (CN),01:26:00,01:31:00,
87,Cangkring (CNK),Ls,01:38:00,
88,Bangoduwa (BDW),Ls,01:41:00,
89,Arjawinangun (AWN),Ls,01:44:00,
90,Kertasemaya (KTM),Ls,01:53:00,
91,Jatibarang (JTB),Ls,01:58:00,
92,Telagasari (TLS),Ls,02:04:00,
93,Terisi (TIS),Ls,02:09:00,
94,Kadokangabus (KAB),Ls,02:13:00,
95,Cilegeh (CLH),Ls,02:18:00,
96,Haurgeulis (HGL),Ls,02:24:00,
97,Cipunegara (CRA),Ls,02:28:00,
98,Pegadenbaru (PGB),Ls,02:33:00,
99,Cikaum (CKM),Ls,02:38:00,
100,Pasirbungur (PAS),Ls,02:41:00,
101,Pringkasap (PRI),Ls,02:45:00,
102,Pabuaran (PAB),Ls,02:48:00,
103,Tanjungrasa (TJS),Ls,02:51:00,
