No.,Stasiun,Datang,Berangkat,Keterangan
1,Pasarsenen (PSE),,20:10:00,
2,Gangsentiong (GST),Ls,-,
3,Kramat (KMT),Ls,-,
4,Pondokjati (POK),Ls,-,
5,Jatinegara (JNG),Ls,20:20:00,
6,Bekasi (BKS),20:30:00,20:32:00,
7,Bekasitimur (BKST),Ls,-,
8,Tambun (TB),Ls,20:38:00,
9,Cibitung (CIT),Ls,-,
10,Telaga Murni (TLM),Ls,-,
11,Cikarang (CKR),20:45:00,20:47:00,
12,Lemahabang (LMB),Ls,20:51:00,
13,Kedunggedeh (KDH),Ls,20:57:00,
14,Karawang (KW),Ls,21:01:00,
15,Klari (KLI),Ls,21:06:00,
16,Kosambi (KOS),Ls,21:08:00,// KA 338 (KA 338 =)
17,Dawuan (DWN),Ls,21:12:00,
18,Cikampek (CKP),Ls,21:15:00,
19,Tanjungrasa (TJS),Ls,21:22:00,
20,Pabuaran (PAB),Ls,21:25:00,
21,Pringkasap (PRI),Ls,21:28:00,
22,Pasirbungur (PAS),Ls,21:32:00,
23,Cikaum (CKM),Ls,21:35:00,
24,Pegadenbaru (PGB),Ls,21:40:00,// KA 304 (KA 304 =)
25,Cipunegara (CRA),Ls,21:44:00,
26,Haurgeulis (HGL),Ls,21:48:00,
27,Cilegeh (CLH),Ls,21:54:00,
28,Kadokangabus (KAB),Ls,21:59:00,
29,Terisi (TIS),Ls,22:03:00,
30,Telagasari (TLS),Ls,22:08:00,
31,Jatibarang (JTB),Ls,22:14:00,
32,Kertasemaya (KTM),Ls,22:19:00,
33,Arjawinangun (AWN),Ls,22:28:00,
34,Bangoduwa (BDW),Ls,22:32:00,
35,Cangkring (CNK),Ls,22:36:00,
36,Cirebon (CN),22:42:00,22:47:00,
37,Cirebon Prujakan (CNP),Ls,22:50:00,
38,Luwung (LWG),Ls,22:55:00,
39,Sindanglaut (SDU),Ls,22:59:00,
40,Ciledug (CLD),Ls,23:08:00,
41,Ketanggungan (KGG),Ls,23:17:00,
42,Larangan (LRA),Ls,23:22:00,
43,Songgom (SGG),Ls,23:26:00,
44,Prupuk (PPK),Ls,23:34:00,
45,Linggapura (LG),Ls,23:44:00,
46,Bumiayu (BMA),Ls,23:51:00,
47,Kretek (KRT),Ls,23:58:00,
48,Patuguran (PAT),Ls,00:04:00,
49,Karangsari (KRR),Ls,00:15:00,
50,Karanggandul (KGD),Ls,00:23:00,
51,Purwokerto (PWT),00:31:00,00:36:00,
52,Notog (NTG),Ls,00:44:00,
53,Kebasen (KBS),Ls,00:49:00,
54,Randegan (RDN),Ls,00:52:00,
55,Kroya (KYA),00:58:00,01:00:00,
56,Kemranjen (KJ),Ls,01:06:00,
57,Sumpiuh (SPH),Ls,01:09:00,
58,Tambak (TBK),Ls,01:12:00,
59,Ijo (IJ),Ls,01:15:00,
60,Gombong (GB),01:21:00,01:23:00,
61,Karanganyar (KA),Ls,01:30:00,
62,Sruweng (SRW),Ls,01:32:00,
63,Kebumen (KM),01:39:00,01:53:00,= KA 14 (KA 14 //)
64,Wonosari (WNS),Ls,01:58:00,
65,Kutowinangun (KWN),Ls,02:00:00,
66,Prembun (PRB),Ls,02:04:00,
67,Butuh (BTH),Ls,02:08:00,
68,Kutoarjo (KTA),02:13:00,,
