No.,Stasiun,Datang,Berangkat,Keterangan
1,Pasarsenen (PSE),,06:30:00,
2,Gangsentiong (GST),Ls,-,
3,Kramat (KMT),Ls,-,
4,Pondokjati (POK),Ls,-,
5,Jatinegara (JNG),06:40:00,06:42:00,
6,Bekasi (BKS),06:54:00,06:56:00,
7,Bekasitimur (BKST),Ls,-,
8,Tambun (TB),Ls,07:02:00,// KA 6002 (KA 6002 =)
9,Cibitung (CIT),Ls,-,
10,Telaga Murni (TLM),Ls,-,
11,Cikarang (CKR),07:10:00,07:12:00,
12,Lemahabang (LMB),Ls,07:16:00,
13,Kedunggedeh (KDH),Ls,07:22:00,
14,Karawang (KW),Ls,07:26:00,
15,Klari (KLI),Ls,07:30:00,
16,Kosambi (KOS),Ls,07:32:00,
17,Dawuan (DWN),Ls,07:36:00,
18,Cikampek (CKP),Ls,07:39:00,
19,Tanjungrasa (TJS),Ls,07:46:00,
20,Pabuaran (PAB),Ls,07:49:00,
21,Pringkasap (PRI),Ls,07:52:00,
22,Pasirbungur (PAS),Ls,07:56:00,
23,Cikaum (CKM),Ls,07:59:00,
24,Pegadenbaru (PGB),Ls,08:04:00,
25,Cipunegara (CRA),Ls,08:08:00,
26,Haurgeulis (HGL),Ls,08:12:00,
27,Cilegeh (CLH),Ls,08:18:00,
28,Kadokangabus (KAB),Ls,08:23:00,
29,Terisi (TIS),Ls,08:27:00,
30,Telagasari (TLS),Ls,08:32:00,
31,Jatibarang (JTB),Ls,08:38:00,
32,Kertasemaya (KTM),Ls,08:43:00,
33,Arjawinangun (AWN),Ls,08:53:00,
34,Bangoduwa (BDW),Ls,08:57:00,
35,Cangkring (CNK),Ls,09:01:00,
36,Cirebon (CN),09:07:00,09:12:00,
37,Cirebon Prujakan (CNP),Ls,09:15:00,
38,Luwung (LWG),Ls,09:20:00,
39,Sindanglaut (SDU),Ls,09:24:00,
40,Ciledug (CLD),Ls,09:33:00,
41,Ketanggungan (KGG),Ls,09:42:00,
42,Larangan (LRA),Ls,09:47:00,
43,Songgom (SGG),Ls,09:51:00,
44,Prupuk (PPK),Ls,09:59:00,
45,Linggapura (LG),Ls,10:09:00,
46,Bumiayu (BMA),10:18:00,10:20:00,
47,Kretek (KRT),Ls,10:28:00,
48,Patuguran (PAT),Ls,10:34:00,
49,Karangsari (KRR),Ls,10:44:00,
50,Karanggandul (KGD),Ls,10:52:00,
51,Purwokerto (PWT),11:00:00,11:05:00,
52,Notog (NTG),Ls,11:13:00,
53,Kebasen (KBS),Ls,11:18:00,
54,Randegan (RDN),Ls,11:21:00,
55,Kroya (KYA),11:27:00,11:29:00,
56,Kemranjen (KJ),Ls,11:35:00,
57,Sumpiuh (SPH),11:39:00,11:41:00,
58,Tambak (TBK),Ls,11:45:00,
59,Ijo (IJ),Ls,11:48:00,
60,Gombong (GB),11:54:00,11:56:00,
61,Karanganyar (KA),12:04:00,12:18:00,= KA 10 (KA 10 //)
62,Sruweng (SRW),Ls,12:22:00,
63,Kebumen (KM),12:29:00,12:31:00,
64,Wonosari (WNS),Ls,12:36:00,
65,Kutowinangun (KWN),Ls,12:38:00,
66,Prembun (PRB),Ls,12:42:00,
67,Butuh (BTH),Ls,12:46:00,
68,Kutoarjo (KTA),12:50:00,,
