No.,Stasiun,Datang,Berangkat,Keterangan
1,Solobalapan (SLO),,08:55:00,X KA 572
2,Kadipiro (KDO),Ls,09:02:00,
3,Kalioso (KO),Ls,09:07:00,
4,Salem (SLM),09:14:00,09:16:00,
5,Sumberlawang (SUM),Ls,09:24:00,
6,Goprak (GPK),Ls,09:29:00,
7,Gundih (GD),09:36:00,09:38:00,
8,Karangsono (KSO),Ls,09:48:00,
9,Telawa (TW),09:57:00,09:59:00,
10,Padas (PDS),Ls,10:07:00,
11,Kedungjati (KEJ),Ls,10:12:00,
12,Tanggung (TGG),Ls,10:21:00,
13,Brumbung (BBG),Ls,10:31:00,X KA 2704(KA 2704X)
14,Alastua (ATA),10:38:00,10:40:00,
15,Semarang Tawang (SMT),10:49:00,,
