No.,Stasiun,Datang,Berangkat,Keterangan
1,Purwosari (PWS),,22:45:00,
2,Gawok (GW),Ls,22:51:00,
3,Delanggu (DL),Ls,22:55:00,
4,Ceper (CE),Ls,22:59:00,
5,Klaten (KT),23:06:00,23:08:00,
6,Srowot (SWT),Ls,23:14:00,
7,Brambanan (BBN),Ls,23:18:00,
8,Maguwo (MGW),Ls,23:23:00,
9,Lempuyangan (LPN),23:29:00,23:34:00,
10,Yogyakarta (YK),Ls,23:37:00,
11,Patukan (PTN),Ls,23:42:00,
12,Rewulu (RWL),Ls,23:45:00,
13,Sentolo (STL),Ls,23:52:00,
14,Wates (WT),00:01:00,00:18:00,= KA 11 (KA 11 //)
15,Kedundang (KDG),Ls,00:24:00,
16,Wojo (WJ),Ls,00:29:00,
17,Jenar (JN),Ls,00:35:00,
18,Kutoarjo (KTA),00:46:00,00:49:00,
19,Butuh (BTH),Ls,00:54:00,
20,Prembun (PRB),Ls,00:58:30,
21,Kutowinangun (KWN),Ls,01:03:30,
22,Wonosari (WNS),Ls,01:06:00,
23,Kebumen (KM),01:10:00,01:12:00,
24,Sruweng (SRW),Ls,01:19:00,
25,Karanganyar (KA),Ls,01:22:00,
26,Gombong (GB),01:28:00,01:30:00,
27,Ijo (IJ),Ls,01:36:00,
28,Tambak (TBK),Ls,01:39:00,
29,Sumpiuh (SPH),Ls,01:42:30,
30,Kemranjen (KJ),Ls,01:46:00,
31,Kroya (KYA),01:52:00,01:54:00,
32,Randegan (RDN),Ls,02:01:00,
33,Kebasen (KBS),02:05:00,02:07:00,
34,Notog (NTG),Ls,02:13:00,
35,Purwokerto (PWT),02:21:00,02:26:00,
36,Karanggandul (KGD),Ls,02:34:00,
37,Karangsari (KRR),Ls,02:43:00,
38,Patuguran (PAT),Ls,02:54:00,
39,Kretek (KRT),Ls,03:00:00,
40,Bumiayu (BMA),03:08:00,03:10:00,
41,Linggapura (LG),Ls,03:19:00,
42,Prupuk (PPK),Ls,03:29:00,
43,Songgom (SGG),Ls,03:37:00,
44,Larangan (LRA),Ls,03:41:00,
45,Ketanggungan (KGG),Ls,03:47:00,
46,Ciledug (CLD),Ls,03:58:00,
47,Sindanglaut (SDU),Ls,04:08:00,
48,Luwung (LWG),Ls,04:13:00,
49,Cirebon Prujakan (CNP),04:20:00,04:36:00,
50,Cirebon (CN),Ls,04:40:00,
51,Cangkring (CNK),Ls,04:46:00,
52,Bangoduwa (BDW),Ls,04:49:00,
53,Arjawinangun (AWN),Ls,04:53:00,
54,Kertasemaya (KTM),Ls,05:03:00,
55,Jatibarang (JTB),Ls,05:09:00,
56,Telagasari (TLS),Ls,05:16:00,
57,Terisi (TIS),Ls,05:22:00,
58,Kadokangabus (KAB),Ls,05:26:00,
59,Cilegeh (CLH),Ls,05:31:00,
60,Haurgeulis (HGL),Ls,05:38:00,
61,Cipunegara (CRA),Ls,05:42:00,
62,Pegadenbaru (PGB),05:48:00,05:50:00,
63,Cikaum (CKM),Ls,05:58:00,
64,Pasirbungur (PAS),Ls,06:02:00,
65,Pringkasap (PRI),Ls,06:06:00,
66,Pabuaran (PAB),Ls,06:10:00,
67,Tanjungrasa (TJS),Ls,06:13:00,
68,Cikampek (CKP),Ls,06:20:00,
69,Dawuan (DWN),Ls,06:23:00,
70,Kosambi (KOS),Ls,06:28:00,
71,Klari (KLI),Ls,06:31:00,
72,Karawang (KW),Ls,06:36:00,
73,Kedunggedeh (KDH),Ls,06:40:00,
74,Lemahabang (LMB),Ls,06:46:00,
75,Cikarang (CKR),06:50:00,06:52:00,
76,Telaga Murni (TLM),Ls,-,
77,Cibitung (CIT),Ls,-,
78,Tambun (TB),Ls,07:01:00,// KA 5517 (KA 5517 =)
79,Bekasitimur (BKST),Ls,-,
80,Bekasi (BKS),07:07:00,07:09:00,
81,Jatinegara (JNG),07:22:00,07:24:00,
82,Pondokjati (POK),Ls,-,
83,Kramat (KMT),Ls,-,
84,Gangsentiong (GST),Ls,-,
85,Pasarsenen (PSE),07:34:00,,
